"pmid","title","abstract","journal","authors","mesh","pub_date"
34878743,"COVID-19, anticoagulation and venous thromboembolism: what have we learned ?","Severe COVID-19 is associated with venous thromboembolic events and and immuno-thrombotic phenomena, responsible for pulmonary vascular damage. This review summarizes the current knowledge on thrombotic risk in COVID-19 inpatients, the potential predictive factors (including D-dimer) and the randomized trials studying the effect of intermediate or therapeutic-dose anticoagulation on the clinical and thrombotic prognosis. Despite the initial hope, therapeutic anticoagulation does not improve the clinical prognosis in critically ill inpatients, and standard prophylactic anticoagulation is therefore recommended. In non-critical inpatients, the use of therapeutic anticoagulation may help reduce the risk of severe clinical deterioration, but its risk-benefit will be clarified in ongoing studies and meta-analyzes.","Revue medicale suisse","{""Blondon, Marc"",""Robert-Ebadi, Helia""}","{N/A}","2021-12"
34878744,"Preoperative rehabilitation before lower limb arthroplasty : Knowledge and perspectives].","The shortening of hospital stays implies rethinking the pre- and post-operative management of lower limb arthroplasty. Optimal preparation of the patient and anticipation of the postoperative process are necessary to limit the length of stay and ensure quality, safety and patient satisfaction. This article summarises what is known about preoperative information, education and rehabilitation for primary care physicians. Physical rehabilitation is not recommended in isolation. However, patient-centred information and education is recommended for those at risk of complicated postoperative outcomes. Interdisciplinary collaboration is needed to coordinate the whole process effectively in a context of shortened lengths of stay.","Revue medicale suisse","{""Philippossian, Robin"",""Luthi, François"",""Pichonnaz, Claude""}","{N/A}","2021-12"
34878745,"N/A","N/A","Revue medicale suisse","{""Graenicher, Adriana"",""Teicher, Samuel"",""Kherad, Omar""}","{N/A}","2021-12"
34878746,"N/A","N/A","Revue medicale suisse","{""Luthy, Christophe""}","{N/A}","2021-12"
34878747,"N/A","N/A","Revue medicale suisse","{""Meylan, Pascal""}","{N/A}","2021-12"
34878748,"N/A","N/A","Revue medicale suisse","{""Zurita, Santiago""}","{N/A}","2021-12"
34878749,"N/A","N/A","Revue medicale suisse","{""Martin, Jean""}","{N/A}","2021-12"
34878753,"ACE inhibitor or ARB treatment among patients with diabetes and chronic kidney disease.","Many patients with type 2 diabetes (T2D) and chronic kidney disease (CKD) experience a delay in treatment or fail to initiate treatment with guideline-recommended angiotensin-converting enzyme inhibitors (ACEis) or angiotensin receptor blockers (ARBs) after CKD diagnosis. This study aimed to describe treatment patterns and treatment initiation after initial CKD diagnosis among patients with T2D. Retrospective analysis using data from the Optum Clinformatics Data Mart administrative claims database (January 2014-September 2018). Adult patients with T2D entered the cohort if they met the criteria for CKD, defined as 2 laboratory test results 90 to 365 days apart (January 2014-September 2017) indicating CKD. Included were patients with no prior use of ACEis or ARBs or evidence of kidney disease in the 365 days prior to cohort entry (baseline). Patients were followed for a maximum of 365 days and were censored on death, disenrollment, or end of data. Patient demographics, comorbidities, and medication use were assessed at baseline, and treatments were assessed over a 1-year followup period. Multivariate logistic regression was used to identify factors associated with ACEi or ARB initiation. Among 15,400 eligible patients without prior ACEi or ARB treatment, only 17% initiated such therapy within a year after meeting CKD criteria. Patients who were White, resided in the northeastern United States, had more comorbidities, had less advanced albuminuria, or used sodium-glucose cotransporter 2 inhibitors were less likely to initiatetreatment. A large proportion of patients with T2D meeting criteria for CKD do not initiate the recommended therapy within 1 year of CKD diagnosis, highlighting a need for new therapies that can slow the progression of CKD.","The American journal of managed care","{""Fried, Linda F"",""Petruski-Ivleva, Natalia"",""Folkerts, Kerstin"",""Schmedt, Niklas"",""Velentgas, Priscilla"",""Kovesdy, Csaba P""}","{N/A}","2021-12"
34878754,"Medical costs for managing chronic kidney disease and related complications in patients with chronic kidney disease and type 2 diabetes.","To provide cost estimates for chronic kidney disease (CKD) management and major CKD complications among patients with CKD and type 2 diabetes (T2D). A retrospective cohort study of 52,599 adults with CKD and T2D using Optum Clinformatics claims data from 2014 to 2019. Medical costs associated with CKD management, renal replacement therapies (RRTs), major CKD complications (eg, myocardial infarction, stroke, heart failure, atrial fibrillation, and hyperkalemia), and death were estimated using generalized estimating equations adjusting for baseline demographics, complications, and medical costs. Costs for CKD management, RRT, and major CKD complications were assessed in 4-month cycles. Mortality costs were assessed in the month before death. The estimated 4-month CKD management costs ranged from $7725 for stage I to II disease to $11,879 for stage V (without RRT), with high additional costs for dialysis and kidney transplantation ($87,538and $124,271, respectively). The acute event costs were $31,063 for heart failure, $21,087 for stroke, and $21,016 for myocardial infarction in the first 4 months after the incident event, which all decreased substantially in subsequent 4-month cycles. The acute event costs of atrial fibrillation and hyperkalemia were $30,500 and $31,212 with hospitalization, and $5162 and $1782 without. The costs associated with cardiovascular-related death, renal-related death, and death from other causes were $17,031, $12,605, and $9900, respectively. Management of CKD and its complications incurs high medical costs for patients with CKD and T2D. Results from this study can be used to quantify the economic profile of emerging treatments and inform decision-making.","The American journal of managed care","{""Betts, Keith A"",""Song, Jinlin"",""Faust, Elizabeth"",""Yang, Karen"",""Du, Yuxian"",""Kong, Sheldon X"",""Singh, Rakesh""}","{N/A}","2021-12"
34878755,"FINE-CKD model to evaluate economic value of finerenone in patients with chronic kidney disease and type 2 diabetes.","Chronic kidney disease (CKD) is a progressive and irreversible disease often associated with type 2 diabetes (T2D). CKD is associated with an elevated risk of cardiovascular (CV) events, increased mortality, and diminished quality of life. Finerenone is a new treatment for patients with CKD and T2D that delays CKD progression and reduces CVcomplications. To describe the approach and structure of a costeffectiveness model for finerenone for patients with CKD and T2D and compare it with existing economic models in CKD. A de novo cost-effectiveness model (FINE-CKD model), reflective of FIDELIO-DKD results, was developed for finerenone. The FINE-CKD model was designed and implemented in accordance with published guidance on modeling and was developed with input from economic and clinical experts. The final model approach was evaluated against existing modeling structures in CKD identified through a systematic literature review. The FINE-CKD model structure follows recommended modeling guidelines and has been designed in accordance with the best practices of modeling in CKD, while also incorporating important features of the FIDELIO-DKD design and results. The approach is consistent with the published literature, ensuring transparency and minimizing uncertainty that can arise from unnecessary complexity. The FINE-CKD model allows for reliable assessment of benefits and costs related to the use of finerenone in patients with CKD and T2D, and it is a reliable assessment of cost-effectiveness.","The American journal of managed care","{""Pochopień, Michał T"",""Cherney, David Z I"",""Folkerts, Kerstin"",""Levy, Pierre"",""Millier, Aurélie"",""Morris, Stephen"",""Roy-Chaudhury, Prabir"",""Sullivan, Sean D"",""Mernagh, Paul""}","{N/A}","2021-12"
34776641,"N/A","N/A","Tijdschrift voor bedrijfs- en verzekeringsgeneeskunde","{""Sorgdrager, Bas"",""Maas, Jaap""}","{N/A}","2021-0"
34878756,"Comment on Ultrarapid On-Site Detection of SARS-CoV-2 Infection Using Simple ATR-FTIR Spectroscopy and an Analysis Algorithm: High Sensitivity and Specificity.","N/A","Analytical chemistry","{""Wood, Bayden R"",""Bedolla, Diana E"",""Kochan, Kamila"",""Godfrey, Dale I"",""Purcell, Damian F J"",""Heraud, Philip""}","{N/A}","2021-12"
34878757,"Ligand Dynamics in Nanocrystal Solids Studied with Quasi-Elastic Neutron Scattering.","Nanocrystal surfaces are commonly populated by organic ligands, which play a determining role in the optical, electronic, thermal, and catalytic properties of the individual nanocrystals and their assemblies. Understanding the bonding of ligands to nanocrystal surfaces and their dynamics is therefore important for the optimization of nanocrystals for different applications. In this study, we use temperature-dependent, quasi-elastic neutron scattering (QENS) to investigate the dynamics of different surface bound alkanethiols in lead sulfide nanocrystal solids. We select alkanethiols with mono- and dithiol terminations, as well as different backbone types and lengths. QENS spectra are collected both on a time-of-flight spectrometer and on a backscattering spectrometer, allowing us to investigate ligand dynamics in a time range from a few picoseconds to nanoseconds. Through model-based analysis of the QENS data, we find that ligands can either (1) precess around a central axis, while simultaneously rotating around their own molecular axis, or (2) only undergo uniaxial rotation with no precession. We establish the percentage of ligands undergoing each type of motion, the average relaxation times, and activation energies for these motions. We determine, for example, that dithiols which link facets of neighboring nanocrystals only exhibit uniaxial rotation and that longer ligands have higher activation energies and show smaller opening angles of precession due to stronger ligand-ligand interactions. Generally, this work provides insight into the arrangement and dynamics of ligands in nanocrystal solids, which is key to understanding their mechanical and thermal properties, and, more generally, highlights the potential of QENS for studying ligand behavior.","ACS nano","{""Jansen, Maximilian"",""Juranyi, Fanni"",""Yarema, Olesya"",""Seydel, Tilo"",""Wood, Vanessa""}","{N/A}","2021-12"
34878758,"How the Presence of Hemin Affects the Expression of the Different Iron Uptake Pathways in ","Iron is an essential nutriment for almost all organisms, but this metal is poorly bioavailable. During infection, bacteria access iron from the host by importing either iron or heme.","ACS infectious diseases","{""Normant, Vincent"",""Kuhn, Lauriane"",""Munier, Mathilde"",""Hammann, Philippe"",""Mislin, Gaëtan L A"",""Schalk, Isabelle J""}","{N/A}","2021-12"
34878759,"Which Type of Pincer Complex Is Thermodynamically More Stable? Understanding the Structures and Relative Bond Strengths of Group 10 Metal Complexes Supported by Benzene-Based PYCYP Pincer Ligands.","The influence of the pincer platform composition and substitution on the reactivity and physical properties of pincer complexes can be easily explored through different experimental techniques. However, the influence of these factors on the molecular structures and thermodynamic stability of pincer complexes is usually very subtle and cannot always be unambiguously established. To rationalize this subtle influence, a survey of crystallographic data from 130 group 10 metal pincer complexes supported by benzene-based PYCYP pincer ligands, [2,6-(R","Inorganic chemistry","{""Fang, Fei"",""Kang, Jia-Xin"",""Xu, Cong-Qiao"",""Chang, Jiarui"",""Zhang, Jie"",""Li, Shujun"",""Chen, Xuenian""}","{N/A}","2021-12"
34878760,"Hybrid Nanoplatform: Enabling a Precise Antitumor Strategy via Dual-Modal Imaging-Guided Photodynamic/Chemo-/Immunosynergistic Therapy.","Photodynamic therapy (PDT) has been widely used in tumor therapy due to its high spatial-temporal control and noninvasiveness. However, its clinical application is limited by weak efficacy, shallow tissue penetration, and phototoxicity. Herein, a facile theranostic nanoplatform based on photoswitchable lanthanide-doped nanoparticles was designed. Typically, these nanoparticles had UV-blue and 1525 nm emission upon 980 nm excitation and 1525 nm emission upon 800 nm excitation. We further used these nanoparticles for achieving real-time near-infrared (NIR)-IIb imaging (800 nm) with a high signal-to-noise ratio and imaging-guided PDT (980 nm). Moreover, such a photoswitchable nanoplatform capping with pH-sensitive calcium phosphate for coloading doxorubicin (a chemotherapeutic immunogenic cell death [ICD] inducer) and paramagnetic Mn","ACS nano","{""Chen, Haoran"",""Wu, Fengxia"",""Xie, Xiaoyu"",""Wang, Wang"",""Li, Qiqing"",""Tu, Langping"",""Li, Bin"",""Kong, Xianggui"",""Chang, Yulei""}","{N/A}","2021-12"
34757943,"Convex optimization algorithms in medical image reconstruction - in the age of AI.","The past decade has seen the flourish of model based image reconstruction (MBIR) algorithms, which are often applications or adaptations of convex optimization algorithms from the optimization community. We review some state-of-the-art algorithms that have enjoyed wide popularity in medical image reconstruction, emphasize known connections between different algorithms, and discuss practical issues such as computation and memory cost. More recently, deep learning (DL) has forayed into medical imaging, where the latest development tries to exploit the synergy between DL and MBIR to elevate the MBIR's performance. We present existing approaches and emerging trends in DL-enhanced MBIR methods, with particular attention to the underlying role of convexity and convex algorithms on network architecture. We also discuss how convexity can be employed to improve the generalizability and representation power of DL networks in general.","Physics in medicine and biology","{""Xu, Jingyan"",""Noo, Frédéric""}","{N/A}","2021-11"
34757944,"MXene-based hybrid system exhibits excellent synergistic antibiosis.","MXenes are a group of inorganic two-dimensional (2D) nanomaterial, and have raised significant interests in biomedical areas. Ti","Nanotechnology","{""Lv, Shupei"",""Song, Bo"",""Han, Fengqi"",""Li, Zhanrong"",""Fan, Bingbing"",""Zhang, Rui"",""Zhang, Junjie"",""Li, Jingguo""}","{N/A}","2021-11"
34757945,"Insights of an AI agent via analysis of prediction errors: a case study of fluence map prediction for radiation therapy planning.","N/A","Physics in medicine and biology","{""Li, Xinyi"",""Wu, Q Jackie"",""Wu, Qiuwen"",""Wang, Chunhao"",""Sheng, Yang"",""Wang, Wentao"",""Stephens, Hunter"",""Yin, Fang-Fang"",""Ge, Yaorong""}","{N/A}","2021-11"
34757952,"Nanopatterning of oxide 2-dimensional electron systems using low-temperature ion milling.","We present a 'top-down' patterning technique based on ion milling performed at low-temperature, for the realization of oxide two-dimensional electron system devices with dimensions down to 160 nm. Using electrical transport and scanning Superconducting QUantum Interference Device measurements we demonstrate that the low-temperature ion milling process does not damage the 2DES properties nor creates oxygen vacancies-related conducting paths in the STO substrate. As opposed to other procedures used to realize oxide 2DES devices, the one we propose gives lateral access to the 2DES along the in-plane directions, finally opening the way to coupling with other materials, including superconductors.","Nanotechnology","{""D Antuono, M"",""Kalaboukhov, A"",""Caruso, R"",""Wissberg, S"",""Weitz Sobelman, S"",""Kalisky, B"",""Ausanio, G"",""Salluzzo, M"",""Stornaiuolo, D""}","{N/A}","2021-11"
34758280,"Pumping the Brakes on Pulmonary Fibrosis: A New Role for Regulator of Cell Cycle.","N/A","American journal of respiratory cell and molecular biology","{""Penke, Loka Raghu Kumar"",""Torres Matias, Gina"",""Ballinger, Megan N""}","{N/A}","2021-11"
34757946,"Anisotropic thermal conductivity and corrugated patterns in single-layer black phosphorus nanoribbon subjected to shear loading: a molecular dynamics study.","Single-layer black phosphorus (SLBP) also known as phosphorene is a recently introduced two-dimensional material with unique structure and promising physical properties that has drawn considerable attention in the field of nanodevices. This structure demonstrates a high anisotropy in mechanical and thermal behavior along zigzag (ZZ) and armchair (AC) principal in-plane directions. Here in this study, it is shown that implementing shear strain on 10nm  50nm SLBP nanoribbons (SLBPNRs) along ZZ and AC directions, the anisotropy leads to different corrugated patterns on the pristine structure. Applying non-equilibrium molecular dynamics under a parameterized Stillinger-Weber potential for modelling SLBP, thermal conductivity (TC) behavior of the sheared SLBPNRs with corrugated patterns are examined. The results show a higher amplitude and wavelength of the corregations on the ZZ-aligned SLBPNRs, which is around two times higher than that of AC-aligned counterparts. Although, it is also shown that unlike some other 2D materials, such as graphene, the wrinkling does not have such a significant effect on TC of SLBP. The phonon density of states results obtained in this work as well as phonon dispersion curves by first-principle calculations in other works concrete this finding. The results show small frequency shifts in both high- and low-frequency phonons, which are not strong enough to affect TC in SLBPNRs. This interesting thermal property of SLBP under shear strain suggests the great potential application of these corrugated structures in nanodevices without any loss of TC abilities.","Journal of physics. Condensed matter : an Institute of Physics journal","{""Mahnama, Maryam"",""Meshkinghalam, Mostafa"",""Ozmaian, Masoumeh""}","{N/A}","2021-11"
34757947,"Magnetic properties and phase diagram of quasi-two-dimensional Na","We investigated the magnetic characteristics of Na","Journal of physics. Condensed matter : an Institute of Physics journal","{""Xiao, Guiling"",""Xia, Zhengcai"",""Song, Yujie"",""Xiao, Lixia""}","{N/A}","2021-11"
34757948,"Recent progress on selective hydrogenation of phenol toward cyclohexanone or cyclohexanol.","Phenol is considered as an important platform molecule for synthesizing value-added chemical intermediates and products. To date, various strategies for phenol transformation have been developed, and among them, selective hydrogenation of phenol toward cyclohexanone (K), cyclohexanol (A) or the mixture KA oil has been attracted great interest because they are both the key raw materials for the synthesis of nylon 6 and 66, as well as many other chemical products, including polyamides. However, until now it is still challengeable to realize the industrilized application of phenol hydrogenation toward KA oils. To better understand the selective hydrogenation of phenol and fabricate the enabled nanocatalysts, it is necessary to summarize the recent progress on selective hydrogenation of phenol with different catalysts. In this review, we first summarize the selective hydrogenation of phenol toward cyclohexanone or cyclohexanol by different nanocatalysts, and simultaneously discuss the relationship among the active components, type of supports and their performances. Then, the possible reaction mechanism of phenol hydrogenation with the typical metal nanocatalysts is summarized. Subsequently, the possible ways for scale-up hydrogenation of phenol are discussed. Finally, the potential challenges and future developments of metal nanocatalysts for the selective hydrogenation of phenol are proposed.","Nanotechnology","{""Xue, Guangxin"",""Yin, Linlin"",""Shao, Shengxian"",""Li, Guodong""}","{N/A}","2021-11"
34757949,"Epitaxial growth of bilayer Bi(110) on two-dimensional ferromagnetic Fe","Heterostructures of two-dimensional (2D) layered materials with selective compositions play an important role in creating novel functionalities. Effective interface coupling between 2D ferromagnet and electronic materials would enable the generation of exotic physical phenomena caused by intrinsic symmetry breaking and proximity effect at interfaces. Here, epitaxial growth of bilayer Bi(110) on 2D ferromagnetic Fe","Journal of physics. Condensed matter : an Institute of Physics journal","{""Xi, Yilian"",""Zhao, Mengting"",""Feng, Haifeng"",""Sun, Ying"",""Man, Xingkun"",""Xu, Xun"",""Hao, Weichang"",""Dou, Shixue"",""Du, Yi""}","{N/A}","2021-11"
34757950,"3D chest tomosynthesis using a stationary flat panel source array and a stationary detector: a Monte Carlo proof of concept.","3D imaging modalities such as computed tomography and digital tomosynthesis typically scan the patient from different angles with a lengthy mechanical movement of a single x-ray tube. Therefore, millions of 3D scans per year require expensive mechanisms to support a heavy x-ray source and have to compensate for machine vibrations and patient movements. However, recent developments in cold-cathode field emission technology allow the creation of compact, stationary arrays of emitters. Adaptix Ltd has developed a novel, low-cost, square array of such emitters and demonstrated 3D digital tomosynthesis of human extremities and small animals. The use of cold-cathode field emitters also makes the system compact and lightweight. This paper presents Monte Carlo simulations of a concept upgrade of the Adaptix system from the current 60 kVp to 90 kVp and 120 kVp which are better suited for chest imaging. Between 90 kVp and 120 kVp, 3D image quality appears insensitive to voltage and at 90 kVp the photon yield is reduced by 40%-50% while effective dose declines by 14%. A square array of emitters can adequately illuminate a subject for tomosynthesis from a shorter source-to-image distance, thereby reducing the required input power, and offsetting the 28%-50% more input power that is required for operation at 90 kVp. This modelling suggests that lightweight, stationary cold-cathode x-ray source arrays could be used for chest tomosynthesis at a lower voltage, with less dose and without sacrificing image quality. This will reduce weight, size and cost, enabling 3D imaging to be brought to the bedside.","Biomedical physics & engineering express","{""Primidis, Thomas G"",""Wells, Stephen G"",""Soloviev, Vadim Y"",""Welsch, Carsten P""}","{N/A}","2021-11"
34757951,"Design and modeling of a Laue lens for radiation therapy with hard x-ray photons.","We have designed and modeled a novel optical system composed of a Laue lens coupled to an x-ray tube that produces a focused beam in an energy range near 100 keV (","Physics in medicine and biology","{""Girou, David"",""Ford, Eric"",""Wade, Colin"",""van Aarle, Casper"",""Uliyanov, Alexei"",""Hanlon, Lorraine"",""Tomsick, John A"",""Zoglauer, Andreas"",""Collon, Maximilien J"",""Beijersbergen, Marco W"",""Barrière, Nicolas M""}","{N/A}","2021-12"
34757953,"Learning to teleoperate an upper-limb assistive humanoid robot for bimanual daily-living tasks.","N/A","Biomedical physics & engineering express","{""Connan, Mathilde"",""Sierotowicz, Marek"",""Henze, Bernd"",""Porges, Oliver"",""Albu-Schaeffer, Alin"",""Roa, Maximo"",""Castellini, Claudio""}","{N/A}","2021-11"
34757954,"Spatio-temporal warping for myoelectric control: an offline, feasibility study.","N/A","Journal of neural engineering","{""Jabbari, Milad"",""Khushaba, Rami"",""Nazarpour, Kianoush""}","{N/A}","2021-12"
34757955,"Electrical impedance sensing of organic pollutants with ultrathin graphitic membranes.","In this paper we propose an original approach for the real-time detection of industrial organic pollutants in water. It is based on the monitoring of the time evolution of the electrical impedance of low-cost graphitic nanomembranes. The developed approach exploits the high sensitivity of the impedance of 2D graphene-related materials to the adsorbents. We examined sensitivity of the nanomembranes based on pyrolyzed photoresist, pyrolytic carbon (PyC), and multilayer graphene films. In order to realize a prototype of a sensor capable of monitoring the pollutants in water, the membranes were integrated into an ad hoc printed circuit board. We demonstrated the correlation between the sensitivity of the electric impedance to adsorbents and the structure of the nanomembranes, and revealed that the amorphous PyC, being most homogeneous and adhesive to the SiO","Nanotechnology","{""Baah, Marian"",""Rahman, Afifa"",""Sibilia, Sarah"",""Trezza, Gianmarco"",""Ferrigno, Luigi"",""Micheli, Laura"",""Maffucci, Antonio"",""Soboleva, Ekaterina"",""Svirko, Yuri"",""Kuzhir, Polina""}","{N/A}","2021-11"
34757956,"Nanofibrous drug delivery systems for breast cancer: a review.","Breast cancer is the most common type of cancer among women. Breast-conserving surgery (BCS) is becoming a preferred approach for treating non-invasive or early-stage breast cancer cases. However, local-regional recurrence (LRR) is one of the critical risk factors after BCS. As many as 10-20% of BCS cases may show LRR within 5 years and almost 50% within 10 years. Radiation therapy is one of the treatments used to prevent LRR after breast-conserving surgery. However, because of possible side-effects of radiation therapy, targeted drug delivery systems based on nanofibers loaded with anti-cancer drugs have been explored in recent years to control LRR after BCS. This paper aims to review different polymers and anti-cancer drugs used for developing nanofibrous drug delivery systems against other breast cancer cell lines. It was observed that the utilization of nanofibers scaffolds after mastectomy could decrease the recurrence of breast cancer cells to a great extent as these nanofibrous scaffolds release drugs in a sustained manner for a prolonged time. Besides, the side effects of chemotherapy on healthy cells could be avoided. To the best of our knowledge, no such review paper is available in the literature that focuses only on the nanofibers-based system for breast cancer therapy.","Nanotechnology","{""Hussain, Tanveer"",""Ramakrishna, Seeram"",""Abid, Sharjeel""}","{N/A}","2021-11"
34757957,"Biocompatibility of electrospun cell culture scaffolds made from balangu seed mucilage/PVA composites.","Synthesis of Balangu (","Nanotechnology","{""Allafchian, Alireza"",""Saeedi, Shiva"",""Jalali, Seyed Amir Hossein""}","{N/A}","2021-11"
34757958,"How should we model and evaluate breathing interplay effects in IMPT?","Breathing interplay effects in Intensity Modulated Proton Therapy (IMPT) arise from the interaction between target motion and the scanning beam. Assessing the detrimental effect of interplay and the clinical robustness of several mitigation techniques requires statistical evaluation procedures that take into account the variability of breathing during dose delivery. In this study, we present such a statistical method to model intra-fraction respiratory motion based on breathing signals and assess clinical relevant aspects related to the practical evaluation of interplay in IMPT such as how to model irregular breathing, how small breathing changes affect the final dose distribution, and what is the statistical power (number of different scenarios) required for trustworthy quantification of interplay effects. First, two data-driven methodologies to generate artificial patient-specific breathing signals are compared: a simple sinusoidal model, and a precise probabilistic deep learning model generating very realistic samples of patient breathing. Second, we investigate the highly fluctuating relationship between interplay doses and breathing parameters, showing that small changes in breathing period result in large local variations in the dose. Our results indicate that using a limited number of samples to calculate interplay statistics introduces a bigger error than using simple sinusoidal models based on patient parameters or disregarding breathing hysteresis during the evaluation. We illustrate the power of the presented statistical method by analyzing interplay robustness of 4DCT and Internal Target Volume (ITV) treatment plans for a 8 lung cancer patients, showing that, unlike 4DCT plans, even 33 fraction ITV plans systematically fail to fulfill robustness requirements.","Physics in medicine and biology","{""Pastor-Serrano, Oscar"",""Habraken, Steven"",""Lathouwers, Danny"",""Hoogeman, Mischa"",""Schaart, Dennis"",""Perkó, Zoltán""}","{N/A}","2021-11"
34757959,"Designing of a pH-activatable carbon dots as a luminescent nanoprobe for recognizing folate receptor-positive cancer cells.","During recent years, cancer has been recognized as a well-known disorder all over the world. One of the important factors to tackle this problem better than past decades is early diagnosis that takes into practice by state-of-the-art visual equipment for detection cancer cells. Herein, in this research, we synthesized carbon dots with pH-dependent behavior from a green source by hydrothermal method with high quantum yield and blue fluorescence. Folic acid-conjugated carbon dots by an efficient and optimal conjugation method were set upped which determined cancer cells visually. These synthesized and conjugated nanoparticles entered into the cancer cells more comprehensive than normal cells by receptor-mediated endocytosis and could distinguish cancer cells from normal ones by fluorescence imaging. Ultimately, synthesized nanoparticles in this research can be considered as an efficient fluorescent nanoprobe for cancer pre-diagnosis.","Nanotechnology","{""Rashidi, Elham"",""Esfandiari, Neda"",""Ranjbar, Zahra"",""Alvandi, Nikta"",""Fatahi, Zahra""}","{N/A}","2021-11"
34757960,"Immunologic Contributions Following Rotator Cuff Injury and Development of Cuff Tear Arthropathy.","Rotator cuff tear arthropathy (RCTA) describes a pattern of glenohumeral degenerative changes following chronic rotator cuff tears that is characterized by superior humeral head migration, erosion of the greater tuberosity of the humeral head, contouring of the coracoacromial arch to create a socket for the humeral head, and eventual glenohumeral arthritis. Acute and chronic inflammatory changes following rotator cuff tears are thought to contribute to cartilage damage, muscle fibrosis, and fatty infiltration in the glenohumeral joint. In vitro animal studies targeting various inflammatory modulators, including macrophages, insulin-like growth factor-I, and transforming growth factor-beta pathways, provide promising therapeutic targets to improve healing after rotator cuff tears. The role of platelet-rich plasma in the treatment and prevention of RCTA has been investigated, with conflicting results.","JBJS reviews","{""Nelson, Grant B"",""McMellen, Christopher J"",""Kolaczko, Jensen G"",""Millett, Peter J"",""Gillespie, Robert J"",""Su, Charles A""}","{N/A}","2021-11"
34757961,"Equitable Access to Research Opportunities in Plastic Surgery: Development of a Research Fellowship Database.","N/A","Plastic and reconstructive surgery","{""Zimmerman, Carrie E"",""Humphries, Laura S"",""Taylor, Jesse A""}","{N/A}","2021-12"
